metric_id,project_id,metric_name,metric_value,recorded_date
MET001075,PROJ000178,Sprint Velocity,84.74,2026-01-02
MET001076,PROJ000193,Average Response Time,6.72,2026-05-21
MET001077,PROJ000245,Sprint Velocity,5.49,2025-09-04
MET001078,PROJ000054,Net Promoter Score,99.15,2025-04-17
MET001079,PROJ000146,Sprint Velocity,44.69,2025-08-19
MET001080,PROJ000123,Monthly Active Users,28.63,2026-05-24
MET001081,PROJ000247,Bug Resolution Rate,64.47,2024-11-10
MET001082,PROJ000113,Net Promoter Score,1.67,2025-12-20
MET001083,PROJ000165,Net Promoter Score,85.29,2025-02-15
MET001084,PROJ000047,Sprint Velocity,65.18,2024-12-09
MET001085,PROJ000205,Deployment Frequency,20.78,2026-03-31
MET001086,PROJ000213,Average Response Time,81.33,2025-09-12
MET001087,PROJ000032,Net Promoter Score,86.23,2025-11-08
MET001088,PROJ000104,Bug Resolution Rate,1.21,2025-04-30
MET001089,PROJ000176,Retention Rate,40.97,2025-03-20
MET001090,PROJ000056,Customer Satisfaction,94.63,2025-10-23
MET001091,PROJ000113,Feature Completion,95.7,2025-09-01
MET001092,PROJ000040,Monthly Active Users,31.25,2025-01-23
MET001093,PROJ000119,Average Response Time,1.72,2026-04-19
MET001094,PROJ000181,Net Promoter Score,34.54,2026-05-21
MET001095,PROJ000054,Average Response Time,99.04,2025-02-14
MET001096,PROJ000187,Average Response Time,40.51,2026-05-27
MET001097,PROJ000115,Feature Adoption,81.23,2026-01-17
MET001098,PROJ000194,Deployment Frequency,99.27,2025-08-03
MET001099,PROJ000104,Feature Completion,62.11,2024-08-05
MET001100,PROJ000065,Sprint Velocity,89.35,2025-07-28
MET001101,PROJ000001,Average Response Time,69.75,2025-02-11
MET001102,PROJ000178,Sprint Velocity,7.78,2025-05-07
MET001103,PROJ000020,Feature Completion,61.89,2024-11-11
MET001104,PROJ000125,Deployment Frequency,38.82,2026-07-13
MET001105,PROJ000037,Retention Rate,49.3,2025-04-12
MET001106,PROJ000180,Sprint Velocity,88.11,2026-04-26
MET001107,PROJ000100,Sprint Velocity,13.59,2026-01-04
MET001108,PROJ000203,Sprint Velocity,34.65,2025-06-26
MET001109,PROJ000235,Net Promoter Score,51.66,2025-05-24
MET001110,PROJ000209,Feature Adoption,40.7,2026-03-13
MET001111,PROJ000064,Retention Rate,86.95,2024-09-18
MET001112,PROJ000113,Feature Adoption,45.81,2025-06-02
MET001113,PROJ000159,Feature Adoption,72.35,2024-08-11
MET001114,PROJ000231,Retention Rate,97.87,2025-08-30
MET001115,PROJ000246,Retention Rate,16.51,2024-10-23
MET001116,PROJ000054,Bug Resolution Rate,25.26,2024-12-16
MET001117,PROJ000094,Feature Completion,75.33,2025-04-15
MET001118,PROJ000017,Feature Adoption,6.75,2025-05-14
MET001119,PROJ000243,Average Response Time,30.53,2025-04-25
MET001120,PROJ000146,Bug Resolution Rate,78.51,2026-04-16
MET001121,PROJ000201,Sprint Velocity,90.99,2025-01-16
MET001122,PROJ000199,Feature Completion,94.38,2025-05-20
MET001123,PROJ000019,Monthly Active Users,17.25,2026-04-09
MET001124,PROJ000154,Bug Resolution Rate,77.76,2025-11-03
MET001125,PROJ000052,Sprint Velocity,82.24,2026-02-13
MET001126,PROJ000101,Sprint Velocity,98.98,2025-08-30
MET001127,PROJ000249,Monthly Active Users,6.66,2026-07-11
MET001128,PROJ000076,Feature Adoption,62.35,2025-03-17
MET001129,PROJ000227,Net Promoter Score,65.21,2025-05-09
MET001130,PROJ000063,Bug Resolution Rate,7.95,2025-05-09
MET001131,PROJ000150,Customer Satisfaction,55.91,2025-01-06
MET001132,PROJ000210,Retention Rate,49.75,2026-05-29
MET001133,PROJ000083,Bug Resolution Rate,89.16,2026-02-28
MET001134,PROJ000057,Customer Satisfaction,53.88,2025-03-09
MET001135,PROJ000240,Feature Completion,31.61,2026-06-24
MET001136,PROJ000108,Feature Completion,29.08,2025-03-17
MET001137,PROJ000234,Sprint Velocity,72.62,2025-08-02
MET001138,PROJ000051,Retention Rate,59.61,2026-05-08
MET001139,PROJ000040,Bug Resolution Rate,98.46,2025-11-26
MET001140,PROJ000084,Bug Resolution Rate,92.75,2026-01-16
MET001141,PROJ000004,Deployment Frequency,72.8,2025-09-04
MET001142,PROJ000075,Average Response Time,62.34,2024-11-10
MET001143,PROJ000215,Retention Rate,76.42,2024-08-09
MET001144,PROJ000219,Net Promoter Score,12.63,2026-04-25
MET001145,PROJ000008,Feature Completion,90.22,2026-07-13
MET001146,PROJ000201,Retention Rate,2.92,2026-07-02
MET001147,PROJ000133,Deployment Frequency,29.1,2025-02-23
MET001148,PROJ000105,Net Promoter Score,15.22,2025-06-27
MET001149,PROJ000218,Customer Satisfaction,22.86,2026-03-14
MET001150,PROJ000245,Monthly Active Users,31.09,2024-08-31
MET001151,PROJ000050,Deployment Frequency,84.88,2025-08-21
MET001152,PROJ000185,Bug Resolution Rate,65.89,2025-03-31
MET001153,PROJ000179,Customer Satisfaction,63.43,2024-12-07
MET001154,PROJ000230,Feature Adoption,60.44,2026-05-21
MET001155,PROJ000167,Average Response Time,90.76,2025-02-05
MET001156,PROJ000127,Monthly Active Users,68.28,2025-06-28
MET001157,PROJ000051,Feature Completion,91.15,2026-01-10
MET001158,PROJ000055,Customer Satisfaction,44.6,2025-06-26
MET001159,PROJ000060,Monthly Active Users,4.21,2025-03-07
MET001160,PROJ000037,Retention Rate,94.91,2024-08-18
MET001161,PROJ000240,Net Promoter Score,51.47,2024-09-13
MET001162,PROJ000081,Sprint Velocity,72.11,2025-04-24
MET001163,PROJ000108,Deployment Frequency,32.09,2026-01-05
MET001164,PROJ000220,Bug Resolution Rate,48.32,2024-09-10
MET001165,PROJ000149,Deployment Frequency,35.26,2025-06-13
MET001166,PROJ000020,Sprint Velocity,0.11,2026-01-16
MET001167,PROJ000040,Customer Satisfaction,25.88,2025-10-02
MET001168,PROJ000072,Feature Adoption,61.7,2026-06-21
MET001169,PROJ000243,Average Response Time,78.28,2026-04-01
MET001170,PROJ000067,Average Response Time,77.59,2025-05-01
MET001171,PROJ000217,Monthly Active Users,50.29,2024-10-07
MET001172,PROJ000018,Feature Adoption,70.87,2025-05-24
MET001173,PROJ000129,Sprint Velocity,64.88,2026-04-19
MET001174,PROJ000127,Average Response Time,8.19,2025-11-02
MET001175,PROJ000124,Feature Completion,51.74,2026-07-04
MET001176,PROJ000182,Feature Adoption,57.03,2025-01-26
MET001177,PROJ000239,Customer Satisfaction,64.73,2025-02-27
MET001178,PROJ000221,Average Response Time,19.0,2025-12-27
MET001179,PROJ000029,Sprint Velocity,14.3,2025-11-24
MET001180,PROJ000109,Deployment Frequency,99.1,2025-01-22
MET001181,PROJ000004,Net Promoter Score,81.51,2026-03-11
MET001182,PROJ000001,Bug Resolution Rate,95.92,2025-10-06
MET001183,PROJ000131,Retention Rate,60.82,2025-12-09
MET001184,PROJ000096,Sprint Velocity,20.03,2025-04-27
MET001185,PROJ000214,Net Promoter Score,54.54,2025-04-19
MET001186,PROJ000171,Monthly Active Users,45.81,2026-04-24
MET001187,PROJ000040,Feature Adoption,92.18,2024-08-13
MET001188,PROJ000004,Average Response Time,70.45,2026-06-17
MET001189,PROJ000229,Monthly Active Users,48.26,2024-12-05
MET001190,PROJ000169,Average Response Time,28.73,2026-06-21
MET001191,PROJ000176,Sprint Velocity,51.14,2024-08-02
MET001192,PROJ000118,Deployment Frequency,14.09,2025-11-11
MET001193,PROJ000169,Feature Adoption,83.13,2024-11-27
MET001194,PROJ000185,Retention Rate,37.53,2026-02-20
MET001195,PROJ000078,Deployment Frequency,29.62,2024-10-14
MET001196,PROJ000229,Customer Satisfaction,45.37,2026-06-17
MET001197,PROJ000107,Bug Resolution Rate,74.27,2025-08-10
MET001198,PROJ000031,Customer Satisfaction,90.23,2026-07-20
MET001199,PROJ000249,Retention Rate,50.98,2025-05-19
MET001200,PROJ000186,Deployment Frequency,14.8,2025-09-22
MET001201,PROJ000005,Customer Satisfaction,18.01,2025-05-12
MET001202,PROJ000112,Deployment Frequency,93.66,2024-10-02
MET001203,PROJ000016,Monthly Active Users,56.32,2025-11-13
MET001204,PROJ000139,Retention Rate,7.93,2024-08-16
MET001205,PROJ000092,Feature Completion,20.6,2025-12-20
MET001206,PROJ000074,Deployment Frequency,97.34,2025-06-15
MET001207,PROJ000085,Monthly Active Users,64.83,2025-03-25
MET001208,PROJ000073,Deployment Frequency,90.76,2026-01-03
MET001209,PROJ000185,Sprint Velocity,32.25,2024-07-24
MET001210,PROJ000079,Feature Adoption,5.64,2025-10-12
MET001211,PROJ000242,Monthly Active Users,91.28,2026-07-13
MET001212,PROJ000211,Net Promoter Score,13.32,2024-07-26
MET001213,PROJ000002,Feature Adoption,26.28,2025-07-26
MET001214,PROJ000050,Customer Satisfaction,71.41,2025-06-06
MET001215,PROJ000072,Net Promoter Score,99.88,2026-03-03
MET001216,PROJ000219,Feature Completion,71.29,2025-08-24
MET001217,PROJ000088,Deployment Frequency,95.62,2026-01-13
MET001218,PROJ000164,Feature Completion,84.02,2024-11-05
MET001219,PROJ000106,Monthly Active Users,76.57,2025-07-13
MET001220,PROJ000003,Bug Resolution Rate,55.48,2024-09-01
MET001221,PROJ000118,Average Response Time,65.91,2026-02-25
MET001222,PROJ000084,Average Response Time,2.82,2026-06-25
MET001223,PROJ000017,Deployment Frequency,47.01,2026-02-08
MET001224,PROJ000105,Deployment Frequency,12.59,2025-05-02
MET001225,PROJ000163,Net Promoter Score,40.14,2026-01-27
MET001226,PROJ000242,Deployment Frequency,56.71,2025-02-18
MET001227,PROJ000056,Sprint Velocity,79.65,2024-12-24
MET001228,PROJ000141,Feature Completion,94.29,2026-04-16
MET001229,PROJ000167,Net Promoter Score,0.0,2024-11-01
MET001230,PROJ000033,Deployment Frequency,86.34,2024-08-25
MET001231,PROJ000061,Feature Completion,37.36,2026-05-02
MET001232,PROJ000072,Bug Resolution Rate,73.56,2025-04-10
MET001233,PROJ000235,Retention Rate,12.56,2026-06-10
MET001234,PROJ000099,Net Promoter Score,96.26,2026-01-23
MET001235,PROJ000023,Average Response Time,52.04,2024-11-21
MET001236,PROJ000040,Sprint Velocity,78.83,2025-06-15
MET001237,PROJ000078,Monthly Active Users,62.49,2025-04-06
MET001238,PROJ000115,Feature Adoption,49.97,2026-04-06
MET001239,PROJ000087,Deployment Frequency,39.02,2025-07-05
MET001240,PROJ000021,Feature Completion,70.18,2026-06-26
MET001241,PROJ000023,Bug Resolution Rate,64.95,2026-03-20
MET001242,PROJ000229,Retention Rate,15.37,2024-08-30
MET001243,PROJ000195,Bug Resolution Rate,34.76,2025-12-21
MET001244,PROJ000026,Feature Completion,20.73,2025-08-11
MET001245,PROJ000190,Net Promoter Score,52.81,2025-09-23
MET001246,PROJ000076,Monthly Active Users,20.73,2024-08-06
MET001247,PROJ000011,Retention Rate,8.98,2025-06-21
MET001248,PROJ000047,Customer Satisfaction,64.71,2024-11-02
MET001249,PROJ000057,Customer Satisfaction,61.54,2026-06-25
MET001250,PROJ000229,Feature Completion,98.93,2025-03-21
MET001251,PROJ000080,Retention Rate,41.12,2025-07-22
MET001252,PROJ000013,Monthly Active Users,25.33,2025-12-13
MET001253,PROJ000233,Customer Satisfaction,57.83,2026-02-15
MET001254,PROJ000243,Bug Resolution Rate,60.21,2025-10-12
MET001255,PROJ000134,Customer Satisfaction,4.35,2024-08-16
MET001256,PROJ000165,Customer Satisfaction,34.79,2026-01-25
MET001257,PROJ000162,Customer Satisfaction,25.8,2024-09-14
MET001258,PROJ000204,Monthly Active Users,73.61,2025-11-30
MET001259,PROJ000107,Deployment Frequency,28.56,2026-07-16
MET001260,PROJ000069,Sprint Velocity,13.14,2026-05-22
MET001261,PROJ000161,Customer Satisfaction,53.64,2025-11-17
MET001262,PROJ000054,Customer Satisfaction,61.13,2024-12-09
MET001263,PROJ000024,Retention Rate,94.21,2025-09-19
MET001264,PROJ000103,Bug Resolution Rate,99.75,2026-04-05
MET001265,PROJ000156,Monthly Active Users,77.53,2025-03-17
MET001266,PROJ000007,Monthly Active Users,65.73,2025-02-08
MET001267,PROJ000152,Bug Resolution Rate,52.4,2025-09-30
MET001268,PROJ000135,Average Response Time,69.76,2026-07-22
MET001269,PROJ000221,Average Response Time,29.97,2025-03-29
MET001270,PROJ000061,Feature Completion,42.61,2026-04-28
MET001271,PROJ000124,Customer Satisfaction,89.33,2026-07-07
MET001272,PROJ000125,Average Response Time,57.49,2024-08-25
MET001273,PROJ000199,Deployment Frequency,36.19,2024-12-22
MET001274,PROJ000039,Sprint Velocity,97.41,2026-04-10
MET001275,PROJ000191,Feature Completion,49.2,2025-10-17
MET001276,PROJ000213,Customer Satisfaction,28.8,2025-02-26
MET001277,PROJ000086,Feature Adoption,17.5,2026-06-03
MET001278,PROJ000091,Customer Satisfaction,50.64,2025-11-27
MET001279,PROJ000101,Monthly Active Users,55.24,2026-03-25
MET001280,PROJ000232,Bug Resolution Rate,61.32,2025-11-05
MET001281,PROJ000124,Retention Rate,39.55,2024-12-25
MET001282,PROJ000043,Feature Completion,30.66,2026-04-18
MET001283,PROJ000144,Deployment Frequency,32.73,2024-10-04
MET001284,PROJ000129,Monthly Active Users,76.71,2025-02-09
MET001285,PROJ000047,Feature Completion,45.75,2025-10-14
MET001286,PROJ000042,Deployment Frequency,26.97,2024-12-06
MET001287,PROJ000086,Sprint Velocity,9.2,2025-07-23
MET001288,PROJ000089,Bug Resolution Rate,5.8,2024-08-10
MET001289,PROJ000059,Customer Satisfaction,16.71,2025-03-14
MET001290,PROJ000148,Bug Resolution Rate,61.79,2025-02-13
MET001291,PROJ000118,Deployment Frequency,64.79,2025-04-21
MET001292,PROJ000074,Sprint Velocity,72.63,2025-12-06
MET001293,PROJ000123,Sprint Velocity,3.94,2025-10-29
MET001294,PROJ000098,Deployment Frequency,12.32,2026-05-16
MET001295,PROJ000031,Net Promoter Score,86.6,2026-05-20
MET001296,PROJ000173,Feature Adoption,70.99,2025-02-16
MET001297,PROJ000181,Customer Satisfaction,25.29,2025-08-20
MET001298,PROJ000151,Monthly Active Users,35.21,2025-11-26
MET001299,PROJ000165,Deployment Frequency,25.51,2025-12-06
MET001300,PROJ000064,Sprint Velocity,31.06,2026-01-24
MET001301,PROJ000196,Sprint Velocity,94.53,2026-05-09
MET001302,PROJ000250,Feature Completion,6.36,2024-10-02
MET001303,PROJ000103,Feature Adoption,93.07,2024-08-25
MET001304,PROJ000092,Feature Adoption,53.42,2026-04-12
MET001305,PROJ000043,Retention Rate,57.88,2026-01-15
MET001306,PROJ000082,Bug Resolution Rate,55.62,2024-08-26
MET001307,PROJ000203,Deployment Frequency,94.57,2025-12-07
MET001308,PROJ000036,Deployment Frequency,42.84,2025-04-18
MET001309,PROJ000115,Net Promoter Score,28.18,2025-01-27
MET001310,PROJ000069,Retention Rate,27.75,2026-07-20
MET001311,PROJ000250,Bug Resolution Rate,18.95,2024-12-27
MET001312,PROJ000111,Feature Adoption,63.22,2025-09-12
MET001313,PROJ000034,Feature Completion,30.83,2026-02-13
MET001314,PROJ000129,Average Response Time,52.7,2026-07-01
MET001315,PROJ000115,Sprint Velocity,45.68,2025-08-21
MET001316,PROJ000112,Retention Rate,31.58,2025-10-06
MET001317,PROJ000046,Average Response Time,68.68,2025-04-10
MET001318,PROJ000104,Net Promoter Score,2.33,2024-12-29
MET001319,PROJ000090,Feature Completion,35.97,2025-03-01
MET001320,PROJ000109,Net Promoter Score,7.37,2025-05-31
MET001321,PROJ000133,Retention Rate,31.02,2025-03-25
MET001322,PROJ000132,Deployment Frequency,38.93,2025-04-13
MET001323,PROJ000026,Customer Satisfaction,92.61,2025-11-04
MET001324,PROJ000166,Average Response Time,1.41,2025-05-31
MET001325,PROJ000167,Net Promoter Score,70.3,2025-06-26
MET001326,PROJ000135,Deployment Frequency,22.74,2025-05-24
MET001327,PROJ000123,Bug Resolution Rate,89.24,2026-06-14
MET001328,PROJ000045,Deployment Frequency,9.41,2024-10-20
MET001329,PROJ000129,Average Response Time,65.06,2024-11-28
MET001330,PROJ000097,Sprint Velocity,57.3,2024-09-19
MET001331,PROJ000018,Monthly Active Users,39.38,2024-08-08
MET001332,PROJ000097,Feature Adoption,68.88,2024-09-10
MET001333,PROJ000179,Customer Satisfaction,85.63,2024-10-11
MET001334,PROJ000222,Average Response Time,3.49,2024-11-15
MET001335,PROJ000025,Bug Resolution Rate,16.74,2024-10-02
MET001336,PROJ000162,Feature Completion,37.37,2025-06-30
MET001337,PROJ000020,Net Promoter Score,59.67,2025-08-09
MET001338,PROJ000024,Feature Completion,50.7,2024-11-24
MET001339,PROJ000123,Feature Adoption,33.03,2025-10-17
MET001340,PROJ000007,Deployment Frequency,25.57,2026-07-22
MET001341,PROJ000089,Retention Rate,64.78,2025-01-01
MET001342,PROJ000198,Bug Resolution Rate,88.02,2026-01-13
MET001343,PROJ000180,Feature Adoption,85.87,2025-11-22
MET001344,PROJ000203,Customer Satisfaction,7.01,2024-10-19
MET001345,PROJ000119,Retention Rate,1.88,2025-05-30
MET001346,PROJ000184,Retention Rate,8.83,2025-07-21
MET001347,PROJ000204,Customer Satisfaction,77.64,2025-01-10
MET001348,PROJ000236,Feature Completion,1.97,2026-01-01
MET001349,PROJ000197,Average Response Time,22.84,2026-04-01
MET001350,PROJ000050,Monthly Active Users,33.55,2026-04-14
MET001351,PROJ000217,Feature Completion,73.48,2026-07-01
MET001352,PROJ000031,Customer Satisfaction,49.01,2025-11-11
MET001353,PROJ000074,Feature Adoption,6.41,2025-12-02
MET001354,PROJ000208,Monthly Active Users,80.32,2026-02-26
MET001355,PROJ000119,Deployment Frequency,39.67,2026-06-14
MET001356,PROJ000065,Monthly Active Users,65.48,2025-06-02
MET001357,PROJ000082,Sprint Velocity,52.75,2025-05-18
MET001358,PROJ000055,Monthly Active Users,43.57,2024-12-10
MET001359,PROJ000158,Monthly Active Users,57.16,2026-07-03
MET001360,PROJ000199,Deployment Frequency,75.56,2025-07-23
MET001361,PROJ000195,Net Promoter Score,52.47,2026-05-19
MET001362,PROJ000033,Retention Rate,68.98,2024-09-07
MET001363,PROJ000236,Net Promoter Score,80.82,2025-04-22
MET001364,PROJ000213,Retention Rate,25.92,2024-08-27
MET001365,PROJ000165,Net Promoter Score,7.87,2026-06-02
MET001366,PROJ000136,Feature Completion,57.02,2025-04-27
MET001367,PROJ000124,Net Promoter Score,76.62,2025-12-30
MET001368,PROJ000063,Feature Completion,50.57,2024-10-20
MET001369,PROJ000220,Net Promoter Score,23.9,2026-03-11
MET001370,PROJ000160,Net Promoter Score,88.27,2025-09-13
MET001371,PROJ000067,Monthly Active Users,29.58,2026-02-25
MET001372,PROJ000111,Average Response Time,37.3,2026-02-15
MET001373,PROJ000175,Net Promoter Score,52.47,2026-04-23
MET001374,PROJ000070,Sprint Velocity,39.25,2025-01-29
MET001375,PROJ000018,Feature Completion,51.84,2024-07-27
MET001376,PROJ000038,Sprint Velocity,28.3,2024-12-04
MET001377,PROJ000209,Retention Rate,33.65,2026-02-08
MET001378,PROJ000148,Customer Satisfaction,77.08,2026-02-28
MET001379,PROJ000180,Monthly Active Users,61.45,2026-05-08
MET001380,PROJ000206,Net Promoter Score,34.21,2025-01-20
MET001381,PROJ000221,Monthly Active Users,99.29,2026-04-19
MET001382,PROJ000240,Net Promoter Score,81.6,2025-05-13
MET001383,PROJ000129,Customer Satisfaction,65.22,2024-11-14
MET001384,PROJ000247,Feature Adoption,65.02,2024-09-24
MET001385,PROJ000072,Monthly Active Users,27.53,2026-05-20
MET001386,PROJ000158,Feature Completion,87.99,2026-02-11
MET001387,PROJ000142,Customer Satisfaction,92.99,2025-04-14
MET001388,PROJ000028,Feature Adoption,62.38,2025-08-19
MET001389,PROJ000140,Sprint Velocity,25.89,2024-09-27
MET001390,PROJ000035,Deployment Frequency,60.88,2025-06-24
MET001391,PROJ000121,Deployment Frequency,99.17,2026-03-03
MET001392,PROJ000130,Retention Rate,37.8,2024-11-28
MET001393,PROJ000142,Monthly Active Users,93.54,2024-08-04
MET001394,PROJ000018,Sprint Velocity,37.19,2024-12-05
MET001395,PROJ000242,Deployment Frequency,41.04,2025-08-04
MET001396,PROJ000142,Sprint Velocity,49.23,2025-08-20
MET001397,PROJ000180,Deployment Frequency,39.02,2025-05-30
MET001398,PROJ000087,Deployment Frequency,62.1,2024-07-24
MET001399,PROJ000156,Net Promoter Score,7.42,2025-02-27
MET001400,PROJ000072,Feature Adoption,49.49,2024-12-17
MET001401,PROJ000044,Monthly Active Users,16.43,2024-11-15
MET001402,PROJ000239,Feature Completion,50.99,2026-02-13
MET001403,PROJ000067,Monthly Active Users,24.06,2025-11-07
MET001404,PROJ000009,Retention Rate,66.27,2026-06-07
MET001405,PROJ000103,Deployment Frequency,99.0,2024-10-21
MET001406,PROJ000006,Sprint Velocity,77.44,2024-11-05
MET001407,PROJ000247,Feature Completion,17.74,2025-06-13
MET001408,PROJ000159,Feature Completion,93.95,2026-03-23
MET001409,PROJ000038,Monthly Active Users,23.27,2025-11-16
MET001410,PROJ000191,Net Promoter Score,79.84,2025-03-02
MET001411,PROJ000154,Net Promoter Score,96.86,2025-05-02
MET001412,PROJ000155,Average Response Time,46.78,2025-07-27
MET001413,PROJ000129,Monthly Active Users,15.44,2026-01-30
MET001414,PROJ000238,Retention Rate,65.19,2026-01-21
MET001415,PROJ000114,Sprint Velocity,41.93,2025-01-02
MET001416,PROJ000240,Retention Rate,79.11,2026-04-04
MET001417,PROJ000195,Deployment Frequency,3.75,2025-07-24
MET001418,PROJ000079,Customer Satisfaction,57.15,2025-10-07
MET001419,PROJ000037,Customer Satisfaction,10.43,2026-03-14
MET001420,PROJ000200,Customer Satisfaction,81.58,2025-12-22
MET001421,PROJ000108,Average Response Time,16.61,2025-12-14
MET001422,PROJ000118,Feature Completion,93.91,2025-02-03
MET001423,PROJ000229,Customer Satisfaction,23.79,2026-04-11
MET001424,PROJ000118,Customer Satisfaction,57.35,2025-01-25
MET001425,PROJ000076,Deployment Frequency,37.51,2024-12-02
MET001426,PROJ000032,Sprint Velocity,36.93,2025-01-05
MET001427,PROJ000107,Feature Completion,71.37,2025-11-10
MET001428,PROJ000079,Deployment Frequency,79.36,2025-06-16
MET001429,PROJ000233,Average Response Time,76.71,2025-02-14
MET001430,PROJ000230,Average Response Time,24.05,2025-07-06
MET001431,PROJ000048,Bug Resolution Rate,43.04,2025-06-13
MET001432,PROJ000170,Average Response Time,49.16,2026-04-18
MET001433,PROJ000145,Feature Adoption,51.15,2025-12-05
MET001434,PROJ000171,Sprint Velocity,61.45,2024-10-23
MET001435,PROJ000052,Feature Adoption,69.35,2025-09-24
MET001436,PROJ000222,Average Response Time,3.13,2025-05-17
MET001437,PROJ000039,Customer Satisfaction,20.57,2026-06-07
MET001438,PROJ000198,Monthly Active Users,3.52,2025-04-19
MET001439,PROJ000166,Feature Adoption,71.66,2026-04-19
MET001440,PROJ000092,Sprint Velocity,6.5,2024-07-23
MET001441,PROJ000087,Retention Rate,27.98,2024-10-03
MET001442,PROJ000173,Monthly Active Users,11.19,2025-08-26
MET001443,PROJ000131,Average Response Time,58.27,2026-03-30
MET001444,PROJ000015,Feature Adoption,28.13,2025-08-04
MET001445,PROJ000146,Deployment Frequency,6.11,2025-07-07
MET001446,PROJ000081,Sprint Velocity,1.52,2025-12-14
MET001447,PROJ000200,Monthly Active Users,13.27,2025-07-26
MET001448,PROJ000223,Sprint Velocity,23.91,2025-02-13
MET001449,PROJ000147,Sprint Velocity,68.59,2024-10-17
MET001450,PROJ000223,Monthly Active Users,29.86,2025-10-09
MET001451,PROJ000190,Bug Resolution Rate,79.23,2025-08-23
MET001452,PROJ000101,Monthly Active Users,81.87,2025-04-30
MET001453,PROJ000175,Feature Completion,98.13,2026-02-28
MET001454,PROJ000099,Feature Completion,14.83,2026-06-02
MET001455,PROJ000110,Retention Rate,94.49,2024-10-30
MET001456,PROJ000246,Retention Rate,50.13,2024-11-22
MET001457,PROJ000229,Bug Resolution Rate,18.37,2026-04-14
MET001458,PROJ000079,Bug Resolution Rate,56.37,2024-08-25
MET001459,PROJ000095,Retention Rate,23.47,2026-07-06
MET001460,PROJ000233,Customer Satisfaction,87.56,2026-04-18
MET001461,PROJ000209,Monthly Active Users,11.4,2025-07-28
MET001462,PROJ000099,Monthly Active Users,43.17,2024-08-10
MET001463,PROJ000090,Average Response Time,70.08,2024-08-08
MET001464,PROJ000024,Sprint Velocity,58.52,2025-05-14
MET001465,PROJ000098,Bug Resolution Rate,7.38,2025-05-04
MET001466,PROJ000035,Sprint Velocity,31.01,2025-11-21
MET001467,PROJ000117,Customer Satisfaction,1.29,2025-09-02
MET001468,PROJ000155,Retention Rate,22.35,2025-02-14
MET001469,PROJ000192,Deployment Frequency,1.19,2026-07-08
MET001470,PROJ000013,Feature Adoption,61.18,2025-10-29
MET001471,PROJ000240,Bug Resolution Rate,52.69,2025-07-09
MET001472,PROJ000194,Average Response Time,22.5,2025-04-08
MET001473,PROJ000023,Net Promoter Score,80.83,2026-04-19
MET001474,PROJ000076,Customer Satisfaction,15.49,2025-12-07
MET001475,PROJ000192,Bug Resolution Rate,76.78,2025-06-27
MET001476,PROJ000072,Customer Satisfaction,94.87,2024-11-07
MET001477,PROJ000115,Customer Satisfaction,58.92,2025-02-10
MET001478,PROJ000143,Deployment Frequency,40.91,2025-10-14
MET001479,PROJ000170,Customer Satisfaction,48.23,2025-03-01
MET001480,PROJ000139,Sprint Velocity,43.44,2025-12-03
MET001481,PROJ000030,Retention Rate,4.57,2024-09-30
MET001482,PROJ000134,Feature Completion,50.53,2024-11-10
MET001483,PROJ000030,Bug Resolution Rate,30.97,2026-06-03
MET001484,PROJ000044,Average Response Time,11.99,2025-10-17
MET001485,PROJ000083,Average Response Time,63.44,2024-09-06
MET001486,PROJ000131,Feature Adoption,3.16,2025-04-22
MET001487,PROJ000207,Retention Rate,87.1,2025-12-15
MET001488,PROJ000126,Bug Resolution Rate,10.29,2024-12-08
MET001489,PROJ000245,Bug Resolution Rate,2.22,2025-06-17
MET001490,PROJ000083,Retention Rate,77.05,2025-07-31
MET001491,PROJ000164,Sprint Velocity,24.71,2024-11-21
MET001492,PROJ000216,Retention Rate,73.79,2025-05-29
MET001493,PROJ000015,Net Promoter Score,31.85,2025-12-24
MET001494,PROJ000017,Feature Adoption,58.22,2025-12-27
MET001495,PROJ000002,Monthly Active Users,32.3,2026-04-06
MET001496,PROJ000006,Net Promoter Score,78.14,2024-11-23
MET001497,PROJ000061,Net Promoter Score,97.74,2024-12-22
MET001498,PROJ000041,Customer Satisfaction,76.88,2026-01-15
MET001499,PROJ000187,Average Response Time,80.49,2025-02-01
MET001500,PROJ000181,Net Promoter Score,25.69,2024-12-08
MET001501,PROJ000205,Monthly Active Users,54.59,2025-03-07
MET001502,PROJ000008,Average Response Time,8.46,2026-04-29
MET001503,PROJ000106,Average Response Time,44.72,2026-01-27
MET001504,PROJ000206,Bug Resolution Rate,39.27,2025-04-05
MET001505,PROJ000025,Monthly Active Users,69.39,2025-12-05
MET001506,PROJ000015,Net Promoter Score,51.8,2025-04-15
MET001507,PROJ000242,Feature Adoption,59.27,2024-08-21
MET001508,PROJ000149,Feature Adoption,19.9,2026-05-12
MET001509,PROJ000070,Net Promoter Score,29.65,2024-12-01
MET001510,PROJ000118,Net Promoter Score,93.39,2026-01-25
MET001511,PROJ000100,Average Response Time,41.29,2024-08-21
MET001512,PROJ000224,Monthly Active Users,73.68,2025-12-08
MET001513,PROJ000073,Feature Completion,15.42,2025-08-08
MET001514,PROJ000086,Deployment Frequency,21.32,2024-10-26
MET001515,PROJ000086,Feature Adoption,57.31,2026-04-20
MET001516,PROJ000246,Monthly Active Users,37.87,2026-03-11
