project_id,workspace_id,project_name,project_type,description,owner_user_id,technology_stack,status,budget_usd,start_date,end_date
PROJ000168,WS0014,Project-168,CRM System,Box toward money he relate test financial arrive. Three keep machine.,USR000047,Flutter,Completed,198603,2025-08-16,2026-08-25
PROJ000169,WS0016,Project-169,ERP System,Job record just space realize us position. Piece teacher by. Entire local interview owner these.,USR000144,Django,Completed,496186,2025-11-22,2026-03-16
PROJ000170,WS0026,Project-170,Cloud Platform,Low provide authority too. Green increase though bank upon record whole. Rich board compare one result shake method.,USR000131,Python/FastAPI,Completed,443016,2025-01-28,2025-08-23
PROJ000171,WS0019,Project-171,Internal Tool,Single member down. Marriage low apply above seek model.,USR000048,Flutter,Active,200355,2025-11-29,2026-12-09
PROJ000172,WS0016,Project-172,Mobile Application,Commercial bar inside former fear glass. Positive him general push bill. Send her player.,USR000555,Flutter,Active,270665,2025-03-26,2027-01-04
PROJ000173,WS0024,Project-173,AI Product,Land discussion method argue interest close. West suddenly also adult decade woman deep wait. Present safe church voice form author young.,USR000294,Vue,Active,197512,2025-02-10,2026-11-24
PROJ000174,WS0018,Project-174,Analytics Dashboard,Myself fine hotel college. Movement movement eye performance itself. Player maybe ground everything growth card military other.,USR000480,Django,Planning,101757,2024-03-14,2027-02-02
PROJ000175,WS0011,Project-175,Web Application,Usually purpose read give thousand see describe value. Sure industry anything. Various action help today training so. Charge kitchen style actually medical stuff.,USR000311,Vue,Completed,87930,2023-09-01,2025-12-25
PROJ000176,WS0011,Project-176,ERP System,People keep doctor military through including measure maintain. Doctor build story kitchen such.,USR000417,Angular,Active,361279,2026-06-10,2027-05-01
PROJ000177,WS0009,Project-177,Internal Tool,Condition analysis rule property. Continue fine real how.,USR000115,Python/FastAPI,On Hold,355086,2025-01-22,2025-02-01
PROJ000178,WS0019,Project-178,CRM System,No very themselves morning guy trial door have. Third machine myself and item note concern.,USR000177,Java Spring,On Hold,251381,2025-02-10,2025-02-12
PROJ000179,WS0017,Project-179,Web Application,Protect trade thus perform theory organization. Final beyond of week line five.,USR000414,Django,Active,340172,2025-10-13,2027-02-02
PROJ000180,WS0011,Project-180,Internal Tool,Space contain site eight effort child tend argue. Environment science least size anyone data else.,USR000697,Django,On Hold,157999,2024-03-14,2025-10-21
PROJ000181,WS0018,Project-181,Analytics Dashboard,Without not whose moment. Prevent open bank current. Blue bad but six.,USR000592,Node.js,Completed,177269,2026-02-16,2026-06-21
PROJ000182,WS0024,Project-182,Analytics Dashboard,Race college after cost green military knowledge. People color account south on.,USR000463,Python/FastAPI,Active,345860,2024-12-01,2026-09-01
PROJ000183,WS0010,Project-183,CRM System,While without significant according spring entire collection enjoy. Either whatever evening pattern cultural.,USR000332,Node.js,Planning,319799,2025-10-31,2026-04-26
PROJ000184,WS0005,Project-184,AI Product,Civil area analysis forward win listen share. Wish new name might before stay beat the.,USR000418,React,Planning,81600,2024-03-30,2025-03-22
PROJ000185,WS0006,Project-185,CRM System,Suddenly for dark pick. Act election trade camera large.,USR000078,Angular,Completed,325392,2025-05-28,2026-07-15
PROJ000186,WS0027,Project-186,ERP System,Explain appear other success stock country course. Character game popular myself significant teacher say.,USR000081,Angular,Completed,489790,2025-03-22,2027-05-04
PROJ000187,WS0003,Project-187,Cloud Platform,Main from commercial ago key. Get blue writer take.,USR000790,Node.js,Completed,192914,2024-12-29,2026-07-02
PROJ000188,WS0015,Project-188,ERP System,Foreign process pull discover. Threat fact human tell on ready fire.,USR000170,Node.js,Active,301018,2024-10-07,2025-12-28
PROJ000189,WS0003,Project-189,AI Product,Piece about room. Speech do close response.,USR000199,Django,Completed,426736,2024-12-20,2026-06-04
PROJ000190,WS0013,Project-190,ERP System,Crime middle offer minute local buy reflect. Home food record each.,USR000446,Vue,On Hold,473302,2024-03-03,2024-06-12
PROJ000191,WS0006,Project-191,AI Product,High process strategy special at crime technology. Very provide camera must move church fire.,USR000513,Python/FastAPI,Completed,105500,2023-10-03,2025-03-17
PROJ000192,WS0023,Project-192,Cloud Platform,Vote car organization space. Modern policy teacher major bill economic. What kid glass. While building nature and upon tree help social.,USR000564,Node.js,Planning,358302,2025-01-25,2025-11-06
PROJ000193,WS0015,Project-193,AI Product,Dog can debate happen force person. Machine just song. As city find the.,USR000340,Python/FastAPI,On Hold,328613,2024-06-19,2026-11-26
PROJ000194,WS0025,Project-194,ERP System,Perhaps suggest sound notice agent. Allow contain get onto win eight. You he audience improve.,USR000394,React,Active,452211,2025-12-10,2026-02-20
PROJ000195,WS0027,Project-195,Internal Tool,Direction special however actually ask. Us recently environmental wife attorney. Worker interview point until enough just already piece.,USR000344,Flutter,Planning,43258,2025-08-19,2026-05-06
PROJ000196,WS0018,Project-196,Analytics Dashboard,Local success less buy ahead until. Different attack mission attack necessary. Money human month note accept or no economic.,USR000285,Django,Completed,330202,2026-06-22,2027-02-09
PROJ000197,WS0025,Project-197,Mobile Application,Together operation particularly customer else special. Skin cell color then water both.,USR000300,Java Spring,Active,451778,2024-10-29,2026-04-16
PROJ000198,WS0003,Project-198,Analytics Dashboard,Serve safe able wish eight official recently.,USR000487,React,Planning,255441,2023-08-28,2027-05-05
PROJ000199,WS0012,Project-199,ERP System,Pretty whole mention whether material source. Know how choice also. After hope situation myself fill. Authority let message everything story purpose rich difference.,USR000265,Node.js,Planning,450615,2025-09-04,2025-10-18
PROJ000200,WS0022,Project-200,Mobile Application,Interest computer thought four. Under seem should.,USR000799,Python/FastAPI,Active,172594,2024-04-24,2027-05-11
PROJ000201,WS0018,Project-201,Cloud Platform,Kind already program pick conference. White culture summer.,USR000443,Flutter,On Hold,244839,2024-11-11,2027-06-14
PROJ000202,WS0025,Project-202,Mobile Application,Group how team give.,USR000324,Django,Planning,178743,2023-09-11,2024-10-10
PROJ000203,WS0020,Project-203,ERP System,Later beyond Democrat over build remain significant team. Third investment provide owner actually. Another raise maybe treat together tell. Computer know also himself those.,USR000276,Angular,Active,251130,2024-02-14,2024-10-26
PROJ000204,WS0003,Project-204,Internal Tool,Design within accept account. Year country certain trouble reveal however education course. Born to treat relate high.,USR000131,React,Planning,238733,2023-07-29,2025-04-27
PROJ000205,WS0001,Project-205,Web Application,We sing wide future.,USR000120,React,Active,300523,2025-11-18,2027-03-25
PROJ000206,WS0004,Project-206,Internal Tool,Must there interest occur. Recognize Congress guy detail mention thus instead.,USR000273,Angular,On Hold,417531,2024-02-06,2024-09-16
PROJ000207,WS0028,Project-207,Mobile Application,Outside determine evening country. Wait ground major never. Also ready arrive impact learn protect stay.,USR000456,Django,Planning,241115,2025-12-07,2026-06-23
PROJ000208,WS0008,Project-208,Cloud Platform,Cup difficult society cultural wall rather student. Thus option kid painting we. Fact skin million between pay stand concern politics.,USR000433,Vue,Active,156663,2025-01-10,2027-07-13
PROJ000209,WS0028,Project-209,ERP System,Key citizen phone. Agency pull painting somebody. Life some she gas represent today.,USR000223,Flutter,On Hold,55387,2024-11-04,2025-11-02
PROJ000210,WS0021,Project-210,AI Product,Girl war claim collection per Congress. Coach operation attorney when. Either politics fund them.,USR000623,Angular,Completed,183467,2025-09-08,2026-01-24
PROJ000211,WS0012,Project-211,CRM System,Benefit yes clear or second. Entire once ok day as describe. Surface single bank fill truth. History particularly during different sort something.,USR000315,Java Spring,Planning,222409,2024-11-20,2024-12-01
PROJ000212,WS0009,Project-212,AI Product,Meet development best those. Population change tend fire century spend foot.,USR000012,Angular,Completed,265495,2026-02-13,2026-03-04
PROJ000213,WS0009,Project-213,AI Product,Between break six. Carry certainly series lead test physical this. Ok into despite ground produce.,USR000671,Flutter,Active,263767,2025-12-26,2027-04-16
PROJ000214,WS0017,Project-214,AI Product,Garden us fly hope hair government probably. Couple recent eat claim.,USR000336,Vue,Completed,406174,2026-06-16,2026-06-24
PROJ000215,WS0013,Project-215,Internal Tool,Protect team light former field away. Street position whose writer camera drug work of.,USR000338,Angular,Active,314907,2024-08-23,2025-01-23
PROJ000216,WS0002,Project-216,ERP System,Entire nearly understand morning program. With shake recently main nor guess teacher.,USR000015,Java Spring,Planning,204866,2023-11-08,2024-11-07
PROJ000217,WS0015,Project-217,Cloud Platform,Nice agency loss many bill together. They situation career test. Affect almost central always join deal. Scientist into simply all group production.,USR000014,Node.js,Planning,45781,2026-02-02,2026-11-19
PROJ000218,WS0019,Project-218,Mobile Application,Child one require affect cultural. History be nice sort about amount.,USR000177,React,Completed,65900,2023-09-18,2026-06-30
PROJ000219,WS0010,Project-219,CRM System,Mr whose and such move build note citizen. Ability if home picture within director water. Player wear tonight.,USR000390,Node.js,Planning,391419,2024-08-05,2024-09-17
PROJ000220,WS0014,Project-220,AI Product,Cold east interesting Democrat. Attack hair work player pick. Data especially suffer argue gun.,USR000575,Flutter,On Hold,415761,2025-03-06,2027-01-19
PROJ000221,WS0018,Project-221,Web Application,Enough heart particularly clearly. Late represent would you already one fine room. Back person center painting consider position subject.,USR000640,Django,Planning,60043,2025-07-13,2026-02-16
PROJ000222,WS0016,Project-222,AI Product,Institution find resource these generation himself hospital themselves. Table report approach.,USR000513,Java Spring,On Hold,48583,2025-03-24,2025-08-10
PROJ000223,WS0005,Project-223,Cloud Platform,Ago long western north late. Shoulder live situation other deal production.,USR000377,Flutter,On Hold,178933,2026-01-31,2026-12-04
PROJ000224,WS0026,Project-224,AI Product,We identify sure risk.,USR000444,Angular,On Hold,490150,2026-02-03,2027-01-05
PROJ000225,WS0021,Project-225,Web Application,Firm toward simple moment adult set his. College race with college receive. Record sit manage arrive.,USR000074,Angular,Completed,212428,2025-04-14,2025-09-23
PROJ000226,WS0015,Project-226,Analytics Dashboard,Keep Congress why. Although pay police continue line.,USR000175,Django,Active,70944,2024-12-20,2025-05-31
PROJ000227,WS0020,Project-227,Internal Tool,Song claim appear. Consumer him thought how wear decade.,USR000090,Vue,Active,224376,2024-09-19,2025-05-02
PROJ000228,WS0027,Project-228,Cloud Platform,Rock you use each total cell rich. Woman gas understand individual. Wrong nearly sort anyone.,USR000694,Angular,Completed,393397,2024-06-20,2024-08-08
PROJ000229,WS0005,Project-229,CRM System,Magazine customer per leader air we so. Now impact instead listen one base suddenly.,USR000342,Java Spring,Planning,371679,2025-06-30,2026-05-20
PROJ000230,WS0013,Project-230,Web Application,Art common move fear phone various stop throughout. There explain loss financial better national oil lot. Mouth health fire what pattern.,USR000027,Java Spring,Planning,215518,2024-11-09,2026-02-10
PROJ000231,WS0029,Project-231,Analytics Dashboard,Commercial address environment really until teach play more. Only interest before deal several.,USR000035,Django,Planning,491841,2024-02-02,2025-03-24
PROJ000232,WS0026,Project-232,Cloud Platform,Through billion authority student figure especially. War write performance skin clearly goal tax. Wind alone myself participant increase even.,USR000391,Angular,Active,206333,2023-10-23,2023-11-10
PROJ000233,WS0025,Project-233,ERP System,Seek leave top term question leave case our. Guy decade be mission which most. War check age answer size.,USR000498,Vue,Active,436607,2025-10-02,2026-05-23
PROJ000234,WS0013,Project-234,Internal Tool,Seat would poor professor fire. Professor medical report else appear data range. Production bag save understand nice discover save body. Case assume usually evening find we recognize shake.,USR000654,React,Completed,365649,2024-01-29,2027-07-02
PROJ000235,WS0006,Project-235,Analytics Dashboard,Hear name society keep each. Yourself huge fast fact low. Military former perform.,USR000464,Django,On Hold,310506,2023-08-12,2025-03-09
PROJ000236,WS0030,Project-236,Cloud Platform,End property security serious claim whole think. Country figure everyone.,USR000095,Node.js,Planning,14637,2024-07-02,2026-08-04
PROJ000237,WS0003,Project-237,CRM System,Still subject between develop. Company result common still into executive market. Product receive behavior explain truth yet. Close bed big.,USR000277,Flutter,On Hold,499254,2025-09-09,2026-07-22
PROJ000238,WS0026,Project-238,Cloud Platform,Attorney wish must into authority rather our. Various cultural development exist election may.,USR000344,React,On Hold,69154,2025-06-15,2026-05-30
PROJ000239,WS0003,Project-239,CRM System,Week choose relationship and. Rather support total technology front feeling available anyone. Character face couple ago safe music modern team.,USR000007,Java Spring,Active,250438,2025-10-03,2026-02-14
PROJ000240,WS0028,Project-240,Analytics Dashboard,Station memory treatment report work computer these. A into of condition.,USR000279,Java Spring,Active,350617,2024-03-10,2025-08-13
PROJ000241,WS0002,Project-241,Analytics Dashboard,Drop down including effort decade government. Official when charge blood necessary group world.,USR000456,Vue,Active,489124,2026-03-21,2026-06-20
PROJ000242,WS0027,Project-242,Cloud Platform,Society why practice carry finally behavior serious. Admit discuss test concern control. What I reality spend so.,USR000276,Node.js,Active,456759,2023-10-31,2025-12-26
PROJ000243,WS0021,Project-243,Cloud Platform,Tree message test team. Idea responsibility sense. Data rest American still finish fall participant figure. Soldier reach power blood cup poor bed.,USR000381,Java Spring,Completed,175272,2023-09-10,2026-12-13
PROJ000244,WS0010,Project-244,ERP System,Happy artist three turn. Read other another activity teacher.,USR000148,Vue,Planning,483880,2026-04-04,2027-06-07
PROJ000245,WS0018,Project-245,ERP System,Debate clearly size much through open. Store past agreement growth military particularly. Lawyer cup increase issue management score sell sort.,USR000162,Flutter,Completed,443697,2024-03-13,2026-11-20
PROJ000246,WS0025,Project-246,ERP System,Laugh feeling growth without tell imagine wife risk. Fall pay any their human.,USR000520,Python/FastAPI,On Hold,411313,2026-04-29,2026-12-28
PROJ000247,WS0012,Project-247,Web Application,Share table company practice she response. Loss field effort other body animal.,USR000611,Django,On Hold,404136,2024-08-11,2024-11-04
PROJ000248,WS0006,Project-248,Internal Tool,Summer attorney off once alone along the.,USR000634,Django,On Hold,452042,2023-08-11,2026-10-15
PROJ000249,WS0012,Project-249,CRM System,Night agency another radio hospital civil hair. Natural decide whether bill pass.,USR000754,Django,On Hold,97665,2024-01-23,2025-03-11
PROJ000250,WS0029,Project-250,ERP System,Hard audience enjoy play current. Religious last visit.,USR000463,Java Spring,Planning,59804,2026-04-08,2027-03-15
